tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,lead_actors_ids,Language,Country,Budget,Box_Office,Plot
tt0017592,Afraid to Love,1927,70,['Comedy'],,,"['nm0896538', 'nm0111612', 'nm0872476', 'nm0497547', 'nm0523893']",English,United States,,,When Sir Reginald Belsize's uncle dies he leaves him a fortune on condition that he give up his current unsuitable lover Helen and marry someone else within twenty four hours. Helen agrees to this so long as the woman he picks is less attractive than she is. The woman he picks is however beautiful and cultured and he quickly falls in love with her.
tt0021602,Aloha,1931,90,"['Drama', 'Romance']",6.6,40,"['nm0528908', 'nm0868799', 'nm0249187', 'nm0002118', 'nm0865298']",N/A,N/A,,,"A celebrated military contractor returns to the site of his greatest career triumphs - the US Space program in Honolulu, Hawaii - and reconnects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him."
tt0022612,Afraid to Talk,1932,74,"['Crime', 'Drama', 'Mystery']",7.0,151,"['nm0511599', 'nm0289253', 'nm0551222', 'nm0129894', 'nm0576120']",English,United States,,,"In an unnamed metropolitan city during the Depression, corrupt mayor Billy Manning is running for re-election, and his political allies in the party machine do their best to burnish his public image. When a local mobster is shot in his hotel room by a speakeasy owner/racketeer named Jig Skelli the crime is witnessed by bellhop Eddie Martin, who had been waiting on him. The police take Martin into custody, and A.D.A. John Wade, part of the Mayor's clique, pressures Martin to name Jig as the killer, going as far as to prevent his wife Peggy from warning him other thugs have threatened the couple with death if they testify. Martin's name is released to the media as the prime witness. Jig's brother Joe takes a private meeting with court officials, warning them he has documents from the dead mobster that detail all the corrupt activities of the Mayor's cronies, including their interests with the mob, and to protect their interests, wrangle the charges to be dropped and Jig to be freed. Eddie and Peggy are promised a protective move to New York to keep them safe from retaliation. Associates of Jig Skelli celebrate his release by shooting up the neighborhood, and an innocent child is killed in the gunfire. Since they cannot reindict Jig lest he reveal his secrets, the Mayor's clique take advantage of circumstantial evidence to present an alternate theory that Eddie was the killer. He is arrested before he and his wife's previously promised move, and violently interrogated in the hope of pressuring a forced confession. A doctor on scene insists if he is not taken to hospital, Eddie will die, and A.D.A. Wade reluctantly lets him be taken there to recuperate. In hospital, a sympathetic doctor sneaks a progressive lawyer into Eddie's room, and enough evidence is gathered that could counter the city's case against him. In desperation, the clique arranges for Eddie to be killed in a manufactured hanging. However, Police Commissioner Garvey, who has quit in protest of the frame-up, manages to reach the detention facility in time to save Eddie's life. The press reveals that the criminal activities of the Mayor and his cronies have been exposed; the party chairman and A.D.A. Hyde have managed to keep themselves out of records of these events, allowing them to keep their jobs and reputations. However, Hyde has been wildcatting with Jig Skelli's girlfriend Marge Winters, and is killed by the Skellis. When asked for a quote by reporters, the party chair defends Hyde's reputation as a prosecutor, and wonders where another man of integrity to lead the city will be found."
tt0022614,The Age of Consent,1932,63,"['Drama', 'Romance']",6.0,480,"['nm0933333', 'nm0431889', 'nm0188673', 'nm0511599', 'nm0356568']",English,United States,0.125,,"Mike Harvey and Betty Cameron are college sweethearts at a New York college. They are so anxious to consummate their relationship that Mike suggests that the two of them quit college, get married and move to California where a friend of his has offered him a job. Both Mike's mentor, Professor Matthews, and Betty talk him out of it. In a funk, Mike goes to the local diner. Dora is a waitress who has had a crush on Mike and suggests that he walk her home after her late shift. Arriving at her house, she invites him in. Once in the house she lets him know that her father is working the night shift, offers Mike some of the liquor her father keeps hidden and turn on the music. The drunken couple begin kissing and end up having sex. They wake up the next morning as Dora is asking Mike if he's sorry for what happened. At that moment Dora's father comes in. He sees the rumpled condition of the couple, hears Dora's words and immediately has Mike arrested for corrupting the morals of a minor. Matthews bails Mike out and when they meet with Dora and her father in the District Attorney's office, Mr Swales presents Mike with two options: marry Dora or have charges brought against him.  
Despite Professor Matthews attempts to intervene, Dora's father insists that Mike marry his daughter and Mike finally acquiesces. The plan is made for them to get married that night and leave immediately for California. Mike goes to see Betty who has changed her mind and wants to leave school right away to get married. Mike tells her that he has to marry someone and why, she becomes distraught and suggests they run away and get married right away. He tells her that he has to do the right thing by Dora and leaves. Betty is visibly upset and later Duke Galloway, a classmate of Mike and Betty's offers to take her for a ride to help cheer her up. Mike arrives at Dora's house. Her father lets him know that the preacher is on the way. Dora comes downstairs in a white suit for the wedding and so that she can leave with Mike right away. Professor Matthews is standing up for Mike. Before the preacher can arrive, Professor Matthews is summoned to the hospital and he takes Mike with him with Dora and her father following behind. When they arrive at the hospital they find out that Duke has had a bad car accident. Betty is badly injured but Duke dies from his injuries at the hospital. Dora sees Mike and Betty and tells her father that she refuses to marry Mike because she can see how much he and Betty love each other. The last scene shows a now married Mike and Betty on the train to California."
tt0023742,After Tonight,1933,71,"['Drama', 'Romance', 'War']",6.2,436,"['nm0000909', 'nm0738042', 'nm0254818', 'nm0324026', 'nm0698139']",English,United States,0.355,0.38,"With the outbreak of World War I, a young woman is unable to purchase a train ticket from Luxembourg to Austria. However, Rudolph ""Rudy"" Ritter is attracted to her and gets her aboard a train to Bern, Switzerland. Later, when the train is stopped short of their destination, she slips away while he goes in search of a car. He does not even know her name. Rudy turns out to be a captain in the Austrian Ministry of War assigned to deal with Russian spies, particularly the very successful K-14. He gets a lead when a secret message is intercepted; it contains information about a newly improved flamethrower. Rudy is assigned to Major Lieber, the man in charge of the unit developing the weapon. Rudy is delighted when Lieber introduces him to nurse Karen Schöntag, his former traveling companion. Rudy sees Karen every night, and the pair fall in love. However, Karen is actually K-14. She narrowly escapes being caught by Rudy and his men, then is brought in for questioning when she goes to a certain staircase that Rudy knows is being used by the Russians to transfer messages. Rudy refuses to believe she is a spy and does not even search her. Major Lieber, however, notices something odd about one of the books she had with her; one page has been freshly torn out (the one with an invisible message). Faced with the mounting evidence, Rudy sets a trap. He has Russian-speaking Private Muller sent to K-14's hospital masquerading as a prisoner of war. Muller gives K-14 the Russian recognition signal (two circles) and passes her a message, ordering her to meet an agent at a deserted house at nine o'clock that night. K-14 is suspicious, but feels she must go. Her contact insists on taking her there. After she incriminates herself to ""Russian"" agent Lehan, Rudy is forced to arrest her. K-14's associate shoots Rudy and knocks out Lehan. He has to drag K-14 away from the wounded Rudy, who also urges her to flee. After the war ends, the two meet by chance at a Swiss train station. This time, Rudy does not let her get away."
tt0023744,"Aggie Appleby, Maker of Men",1933,73,"['Comedy', 'Romance']",6.6,379,"['nm0268190', 'nm0268190', 'nm0317224', 'nm0307326', 'nm0686032']",English,United States,,,"Streetwise Agnes ""Aggie"" Appleby, a waitress at Nick's Restaurant, gets into a mass fight and escapes with friend Red Branahan. The fight was about her honor. They live together, but the money isn't coming in as it should. Branahan is caught by the police and jailed. Her landlady puts her out because she's unable to pay the rent, so Aggie goes to her friend Sybby, a cleaning lady who puts Aggie in the room of a man who's expected to be away for a few hours so Aggie can get some sleep.  However, the man, Adoniram ""Schlumpy"" Schlump, comes back earlier than expected because he's hoping for a letter from Evangeline, a young woman of his elevated socioeconomic class whom he loves. Because Schlump is  compassionate and because Aggie has nowhere to go and no money, he lets her stay indefinitely (he sleeps on the couch and gives her the bed) -- and she sets to work on helping him find work and on remaking his life. She finds him a job at a construction site on the other side of the road, re-christening him Red Branahan because she considers his actual name an impediment. After several weeks of their growing relationship, Schlump asks Aggie to marry him, but she fears that their different social and cultural backgrounds could become a problem. Auntie and Evangeline pop up at his room, so Aggie pretends to be a maid but is insulted by Auntie and storms out. Aggie ultimately sends Schlumpy back to Evangeline -- and then sets out to improve Red's life."
tt0024811,Above the Clouds,1933,68,"['Action', 'Adventure', 'Drama']",6.7,28,"['nm0035877', 'nm0188673', 'nm0933333', 'nm0106785', 'nm0908797']",English,United States,,,"When headstrong Charlie discovers her parents have been keeping her biological father secret from her, she does what any 18-year old would do - recruits a rough sleeper to be her 'responsible adult' and sets off for Scotland on her provisional driving licence to go and find him."
tt0024816,The Affairs of Cellini,1934,79,"['Comedy', 'Drama', 'History']",6.0,540,"['nm0000909', 'nm0545298', 'nm0604656', 'nm0942039', 'nm0055998']",English,United States,,,"Both the duke and duchess have an eye for beauty and other partners. The duke presently fancies a young woman who poses as an artist's model. The duchess has her eye on the famous artist, Benvenuto Cellini, who is in the palace making a set of gold plates to be used at ducal banquets. Cellini purportedly hypnotizes young women, and cuckolds the duke of Florence. The somewhat oblivious duke is loath to punish the young man because Cellini fashions gold wares for him, but throws him into the torture chamber. However, a goblet of poisoned wine solves the problem."
tt0024817,Affairs of a Gentleman,1934,68,"['Crime', 'Drama', 'Romance']",6.9,63,"['nm0510134', 'nm0404885', 'nm0255012', 'nm0715637', 'nm0828668']",English,United States,,,"The gentleman of the title is Victor Gresham, a popular novelist. He has loved many women, and has been loved back by many of them. Several of these ladies have left the domestic security provided by their husbands in order to further pursue a relationship with Gresham, despite Gresham's own advise to the contrary. As his lovers compete over him, Gresham uses his love life as inspiration for a series of cynical novels. Each of his novels described the events of one of his love affairs. Early in the film, Gresham is found dead at his own writing desk. The rest of the film explores the events which led to his death, covering the last twelve hours in Gresham's life. Gresham dies in New York City, while working on his latest novel, called Frailty. There is a note with Gresham's signature nearby, which suggests that the novelist committed suicide. However, Inspector Quillan, who investigates the death, suspects murder to be more likely. Gresham's former lovers are now suspects and six of these women are found to have been present at Gresham's apartment, the night before his death. The circumstances of their presence are soon explained. One of the women, Carlotta Barbe, had organized a surprise party for Gresham. She invited the Muses of Gresham's novels to attend. Gail Melville attended the party to officially end her relationship with Gresham, before marrying her fiancé. Gladys Durland had been Gresham's lover for two years, and attended the party to explain her plans to finally leave her husband. Foxey Dennison is also married, but still wanted to have an affair with Gresham. Nan Fitzerald was the inspiration for Gresham's first novel and wanted to see him again. The sixth woman at the party, Jean Sinclair, was apparently never Gresham's lover. Sinclair is a female illustrator, and her relationship with him was professional. She hoped to illustrate Frailty, once the novel was finished. She arrived at the party with Carter Vaughan, her boyfriend. The events following the party are depicted in flashback. All the guests leave for the night, except for Fitzgerald who is drunk and sleeping. She spends the night at the couch of Gresham's apartment. The following morning, Gresham has yet to decide on an ending for his novel. He discusses the matter with Fletcher, his valet, and asks Fletcher to think of an ending. Fitzgerald wakes with a hangover and Gresham instructs her to get some proper sleep in his apartment. He soon discovers that there is a handgun hidden in her purse. Meanwhile, the morning newspaper reports the death of actress Peggy Fanning. Fanning was Gresham's latest lover and the inspiration for Frailty. She had divorced her husband, a fellow actor, in hopes of marrying Gresham. However, Gresham rejected her and had no interest in marrying her. The newspaper reports that Fanning committed suicide in Paris. The flashback continues. Durland visits Gresham to warn him of danger. Her husband has read Gresham's novel about her and recognized his wife in it, due to a ""detailed description of her sexual idiosyncrasies"". Her husband wants to kill Gresham, and Durland tries to convince Gresham to flee with her to escape his wrath. Gresham rejects her offer and her love. He is no longer interested in her. Gresham is next visited by Barbe, who tries to renew her love affair with him. He rejects her and throws her out of his apartment. The next arrival is Sinclair, eager to show her sketches to Fletcher and get an agreement about the illustration of Frailty. Gresham hires her for the illustration of the novel, though he has another motive for the act. He has fallen in love with Sinclair and hopes to pursue a relationship with her. Lyn Durland, Gladys' husband, arrives and threatens to kill Gresham. Sinclair manages to convince the furious Lyn that Gresham is her own lover, and that they are going to marry. Lyn leaves, and the supposed couple embraces. There is a genuine attraction, but Sinclair does not trust Gresham. She flees the apartment, unwilling to become the topic of his next novel. Fitzgerald witnesses the scene and realizes that Gresham has fallen in love with another woman. She decides to leave him, and leave the United States for good. Gresham does not protest, but offers to purchase her handgun first. He is now the owner of the weapon. Trying to finish the novel, Gresham has the idea to end it with a suicide. He discusses the matter with Fletcher, and the conversation turns into the matter of suicide in general. Fletcher informs his employer about Fanning's suicide in Paris, and accuses Gresham of having killed the woman. Fletcher then has a confession for Gresham. He is not a valet, but an actor. ""Fletcher"" is the husband which Fanning cheated on and deserted. He entered Gresham's service in order to get close to him and plot his revenge. Following his confession, ""Fletcher"" kills Gresham. Gresham finally has an ending for his novel. But he is dead and can not write it down."
tt0026032,Abdul the Damned,1935,79,"['Drama', 'History']",5.8,113,"['nm0466776', 'nm0466776', 'nm0039989', 'nm0835738', 'nm0024669']",English,United Kingdom,0.05,,"Sultan Abdul Hamid II is the absolute ruler of the Ottoman Empire in 1908. That same year, the leader of the revolutionary CUP (Young Turks), Hilmi Pasha, returns from exile, threatening the Sultan's rule and the conservative opposition to the CUP. Seeking to please the old despot, the Osmanli chief of police assassinates the leader of the conservative opposition, and makes it look as if a Young Turk committed the crime in order to give the Sultan an excuse for arresting the CUP leadership. Meanwhile, the Sultan becomes infatuated with a visiting Austrian singer. When she rejects his advances, she endangers both herself and her fiancé, a Turkish officer who knows too much about the assassination plot."
tt0026038,The Adventures of Rex and Rinty,1935,229,"['Action', 'Adventure']",6.2,104,"['nm1211065', 'nm1168072', 'nm0725122', 'nm0852970', 'nm0041681']",English,United States,,,"A 12 episode serial starring Rex, the King of the Wild Horses and Rin-Tin-Tin, Jr. Rex is brought from the island of Sujan, where he is worshiped as a God-Horse, to the U.S. to be trained as a polo pony. He escapes, meets Rinty and with the help of Frank Bradley is returned to Sujan. The natives have been persuaded to turn against their God-Horse, however he is rescued just in time before he is burned as a sacrifice."
tt0026041,The Affair of Susan,1935,62,"['Comedy', 'Romance']",6.5,36,"['nm0686032', 'nm0640078', 'nm0146185', 'nm0240836', 'nm0183918']",English,United States,,,Two lonely people meet at an amusement park on Coney Island.
tt0026043,After Office Hours,1935,72,"['Comedy', 'Crime', 'Drama']",6.4,1131,"['nm0000909', 'nm0000022', 'nm0260020', 'nm0000992', 'nm0827031']",English,United States,0.366,1.2,"Jim Branch, a newspaper editor, falls for wealthy socialite Sharon Norwood, after having fired her as a reporter, all the while trying to solve a murder mystery, involving her childhood friend Tommy Bannister.  Once Jim discovers that Sharon is involved with all the participants in the murder, she becomes even more attractive to him."
tt0026045,Age of Indiscretion,1935,78,"['Drama', 'Romance']",6.2,206,"['nm0510134', 'nm0263004', 'nm0899091', 'nm0733480', 'nm0392403']",English,United States,,,"“A moralistic publisher discovers his wife is cheating on him”, she divorces him and remarries for money, leaving her young son with his father, only to pursue the young boy to satisfy her new mother-in-law who holds the purse."
